id,title,title_display,parent_id,change notes,weight,encyc_links,description,created,modified
67,Living conditions [67],Living conditions,65,,,,"All of the camps were constructed according to the War Department's specifications, which included barbed-wire fences, guard towers, and armed guards around the perimeter. The camps were organized in ""blocks"" consisting of twelve to fourteen barracks, a mess hall, communal showers and toilets, laundry facilities, and a recreation hall. Each barracks was divided into four or six rooms with each room housing one family, no matter how large, and there was no running water. The furnishings that Japanese Americans found on their arrival were canvas cots, a potbellied stove, and a single bare light bulb. The thin walls offered little protection from the harsh weather, which ranged from 110 degrees in the summer to 25 degrees below zero on winter nights. The flimsy construction allowed no privacy and made normal family life difficult. Camp inmates improved their own living conditions by creating interior walls and partitions, constructing furniture from scrap lumber, and planting gardens.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
68,Food [68],Food,65,,,,"The eating facilities in the camps were large mess halls with long lines and crowded tables. Group living tended to erode family solidarity, as teenagers escaped parental authority by eating with friends rather than family. The quality of the food was poor and milk and fresh meat were constantly in short supply. Inexpensive foods such as wieners, dried fish, pancakes, macaroni and pickled vegetables were served often. The diets of the camp inmates improved only after they began growing some of their own food.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
69,"Facilities, services and camp administration [69]","Facilities, services, and camp administration",65,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
70,Medical care and health issues [70],Medical care and health issues,65,,,,"Medical and dental facilities were for the most part inadequate, lacking in both equipment and staff. Doctors and nurses were overworked, and treatment was often substandard as well as delayed. Camp inmates recall outbreaks of food poisoning, tuberculosis and dysentery epidemics, and preventable deaths of patients and newborns.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
71,Holidays and festivals [71],Holidays and festivals,65,,,,"Striving to maintain normal lives, Japanese Americans held holiday celebrations and festivals inside the concentration camps. Whether decorating mess halls during the Christmas holiday as part of a camp-wide competition or participating in parades to celebrate the harvest of crops from their own gardens, the Japanese Americans demonstrated their resourcefulness and resilience.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
72,Sports [72],Sports,65,,,,"Sports were a major form of recreation for the Issei and Nisei in the camps. Baseball became the preferred sport for both, although basketball and football were also popular among the Nisei. Organized teams, often consisting of friends from prewar neighborhoods, played each other in highly competitive matches. Other sports, like ping-pong, judo, boxing, badminton, and sumo wrestling were also popular pastimes.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
73,Education [73],Education,65,,,,"Schools were quickly organized in the concentration camps, but they suffered from crude facilities and lack of teaching materials. Instruction was given for nursery through high school, and adult education was offered. Trained teachers were in short supply, however, and uncertified Japanese Americans with college degrees often filled in. The War Relocation Authority (WRA) deliberately emphasized Americanization in the education program. Some found it painfully ironic to watch incarcerated youth recite the Pledge of Allegiance.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
74,Publications [74],Publications,65,,,,"From 1942-1945, camp inmates published newspapers documenting events inside and outside the camps. Although published under the direction of the camp administration, these newspapers were important for building and maintaining a sense of community among the Japanese Americans.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
75,Religion [75],Religion,65,,,,"Japanese Americans used religion as one way to handle the stress of the incarceration experience. Church served as both a spiritual comfort and a place for community gatherings. On Sundays, Buddhist and Christian services and Sunday schools were held in the recreation halls. State Shintoism was another popular religion within the Japanese American community but was banned by the U.S. government on the grounds that it included ""Emperor worship."" Church services initially were given in both Japanese and English, but camp authorities later banned the use of Japanese at all group gatherings (although translation into Japanese was later permitted at some religious services).",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
76,Work and jobs [76],Work and jobs,65,,,,"Both Issei and Nisei took jobs within the camps, at wages set not to exceed soldiers' pay: $12 per month for unskilled labor, $16 for skilled labor, and $19 for professional employees. WRA staff was paid much more for the same jobs. Though public opinion mandated such low pay, dissatisfied Japanese Americans objected to losing their right to make a decent living. They had to use their sparse income for necessities, such as warm clothing and shoes.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
78,Impact of incarceration [78],Impact of incarceration,65,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
80,Support from the non-Japanese American community [80],Support from the non-Japanese American community,399,,,,"During mass removal and incarceration, Japanese Americans received outside support and assistance from religious organizations, civil rights groups, and other concerned individuals. The American Friends Service Committee was one of the most active groups to help the Japanese American community during World War II. Committee members donated educational materials to the camp schools and libraries and were influential in persuading the government to allow Nisei to leave the camps for colleges in the interior of the country. Ministers, peace activists and other supporters of the Japanese American community often visited the camps and spoke out publicly against the incarceration. Church groups across the country also organized clothing and food drives for the camp inmates.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
81,Camp pilgrimages [81],Camp pilgrimages,118,,,,"Annual pilgrimages to the sites of former camps have become important events in the Japanese American community. They are an opportunity for former camp inmates to visit places that dramatically affected their lives, as well as a way for younger generations to learn the history of the Japanese American incarceration. Often the pilgrimages last for a few days and include workshops, tours of the former campsites, and memorial services to honor those who died while incarcerated.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
82,Department of Justice camps [82],Department of Justice camps,399,,,,"More than 5,500 Japanese immigrants (Issei) were arrested by the FBI following the attack on Pearl Harbor. Most were sent first to temporary Immigration and Naturalization Service (INS) detention stations and then transferred to Department of Justice (DOJ) internment camps, where they waited to appear before the Alien Enemy Hearing Board. These hearings determined whether the Issei would remain in the internment camps or be ""released"" to the War Relocation Authority (WRA) concentration camps. After the hearings, most of the Issei were sent to U.S. Army internment camps. The U.S. Army, charged with detaining military prisoners of war (POWs), then returned the Issei internees to DOJ control. The DOJ camps also interned Italian and German nationals and Japanese Latin Americans. Most of the DOJ internment camps held only men who had been separated from their families, but three camps housed single women and families. The camps were run by the INS, part of the Department of Justice.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
84,"""Enemy alien"" classification [84]","""Enemy alien"" classification",399,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
85,"Registration and ""loyalty questionnaire"" [85]","Registration and the ""loyalty questionnaire""",401,,,,"To help administer the military draft and work release program, the U.S. Army and the War Relocation Authority (WRA) produced ""loyalty questionnaires"" for all Japanese Americans seventeen years of age and older. The questionnaires contained two questions that caused confusion and controversy. Despite serious problems with the wording and meaning of the questions, government officials and others generally considered those who answered ""no"" to these two questions to be ""disloyal"" to the United States, and they were transferred to the Tule Lake concentration camp which was designated a segregation camp. ""Yes"" answers to these questions made Japanese Americans eligible for service in the U.S. Army, and some became eligible for release and resettlement in areas outside of the West Coast exclusion zones.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
86,Segregation and Tule Lake [86],Segregation and Tule Lake ,94,,,,"In July 1943, Tule Lake concentration camp was designated as a segregation center for those the camp authorities considered ""disloyal"" as a result of their answers on the mandatory ""loyalty questionnaire."" In September 1943, ""loyal"" Japanese Americans from Tule Lake began departing for other camps and ""disloyal"" Japanese Americans from other camps started arriving at Tule Lake. The number of guards increased from a few hundred to 930 and an eight-foot high double fence was erected. The camp's capacity was 15,000 but the peak population reached 18,789 as 6,249 original ""loyal"" Japaense Americans chose to stay rather than be uprooted again.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
87,Renunciation of citizenship [87],Renunciation of citizenship,94,,,,"During World War II, 5,589 American citizens of Japanese descent renounced their U.S. citizenship. The renunciations took place between December 1944 and July 1945, mostly in Tule Lake concentration camp, California. The vast majority of renunciations had little to do with ""disloyalty"" to the U.S., but instead were the result of a series of complex conditions and events that were beyond the control of those involved. After a legal battle, most renunciants had their U.S. citizenship restored in the 1960s.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
88,Military service [88],Military service,399,,,,The story of Japanese Americans in the military during World War II is complex and in many ways ironic. It is a story of mistrust by the very country for which these soldiers placed themselves in harms' way. Many were drafted directly out of the camps and fought for democracy abroad while their parents and families were incarcerated by their own government.,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
89,442nd Regimental Combat Team [89],442nd Regimental Combat Team ,88,,,,"The 100th Infantry Battalion began as part of the Hawaii National Guard. On June 5, 1942, 1,432 men left Hawaii for training at Camp McCoy, Wisconsin, and later at Camp Shelby, Mississippi. The 100th shipped out to North Africa on August 23, 1943, and saw heavy action in Italy. Because of its heavy casualties and many honors, the 100th became known as the ""Purple Heart Battalion."" The 442nd Regimental Combat Team was initially formed in 1943 from Japanese American volunteers from Hawaii and the mainland. Perhaps not surprisingly, only about 1,250 Japanese Americans volunteered from the concentration camps. In Hawaii, where there was no mass removal, almost 10,000 volunteered. The 442nd arrived in Italy in June 1944 where the battle-tested 100th Infantry Battalion became its 1st Battalion. In seven major campaigns, the 442nd became the most decorated unit for its size and length of service; the unit suffered 9,476 casualties, more than 300 percent of its original strength.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
90,522nd Field Artillery Battalion [90],522nd Field Artillery Battalion,88,,,,"The 522nd Field Artillery Battalion of the 442nd Regimental Combat Team was known for its outstanding firing speed and accuracy. Many of the 522nd Field Artillery Battalion men had backgrounds in science and engineering. They needed strong mathematical skills to calculate target distance, gun range, gun angle, and powder strength. In 1945, the 522nd was sent separately to Germany to pursue the hastily retreating German troops. They unknowingly stumbled into the sub-camps of the infamous Dachau death camp and helped to free survivors.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
91,Military Intelligence Service [91],Military Intelligence Service ,88,,,,"The first Japanese Americans to serve in the military during World War II were linguists involved in the Military Intelligence Service Language School (MISLS). The MISLS was charged with training soldiers in the Japanese language for intelligence purposes. Japanese Americans served as both instructors and students at the school, which opened on November 1, 1941. The Language School began recruiting instructors and later students directly from concentration camps as early as July 1942. MISLS graduates were assigned in small teams to units fighting in the Pacific and to intelligence centers throughout the Allied command. They translated captured documents, interrogated prisoners of war, wrote propaganda, encouraged Japanese soldiers and civilians to surrender, and monitored radio broadcasts. After the war, they acted as interpreters at the war crime trials and for the occupation government in Japan.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
92,Pre-World War II service [92],Pre-World War II service,296,,,,"Prior to the attack on Pearl Harbor, approximately 5,000 Japanese Americans were already in the U.S. Army, most having been drafted. When war broke out, some Nisei soldiers were discharged, while others were placed in noncombat positions at Camp Robinson, Arkansas. Still others were overlooked by the military bureaucracy and continued in their positions. During this chaotic time, all other Nisei were reclassified 4-C, the status of ""enemy alien,"" and therefore became ineligible for the draft.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
93,U.S. Counterintelligence Corps [93],U.S. Counterintelligence Corps,88,,,,"The first all-Nisei Counterintelligence Corps (CIC) unit began training at Camp Ritchie, Maryland, in the spring of 1945 to prepare for the occupation of Japan. The mission of the Nisei in CIC was to use their linguistic and cultural knowledge to detect and prevent activities directed against Occupation Forces. Nisei CIC personnel were assigned to every prefecture in Japan and relied on a network of police, local government officials and media to carry out their intelligence work. They were also involved with recruiting informants within nationalist and ultra-leftist organizations.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
94,Resistance and dissidence [94],Resistance and dissidence,399,,,,"Resistance to exclusion and incarceration took many different forms: non-compliance with exclusion orders and concomitant court cases challenging them, refusal to obey draft orders, labor strikes, and individual and group protests within the camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
95,Draft resistance [95],Draft resistance,94,,,,"In 1944 the government reinstated the draft for Japanese Americans after suspending it in 1942 and began drafting men directly from the camps. This action angered many. At Heart Mountain concentration camp, Wyoming, resistance took the form of an organized movement calling itself the Fair Play Committee. Members demanded that their rights as citizens be restored before enlisting in the military. Eventually, sixty-three men from Heart Mountain refused induction and were sentenced to prison terms for draft evasion. In the other camps, disparate individuals made the decision to resist the draft. After being unfairly incarcerated for almost two years, they saw the draft as the final injustice. Ultimately, 267 men from all the concentration camps were convicted of evading the draft and most served time in prison. President Truman pardoned all of the resisters in 1947.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
96,Supreme Court cases [96],Supreme Court cases,94,,,,"Three Japanese Americans -- Gordon Hirabayashi, Fred Korematsu and Minoru Yasui -- refused to comply with exclusion and were subsequently arrested. Together, these resisters and their court cases tested two distinct yet intertwined constitutional issues: the legality of military orders on civilians (curfew, in particular), especially as they were selectively applied on the basis of race, and the legality of exclusion, again selectively applied on the basis of race. In all three cases the litigants lost at the trial court level and appealed to the Supreme Court. The Court ultimately upheld the three men's convictions and ruled that curfew orders and exclusion were constitutional.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
97,Gordon Hirabayashi [97],Gordon Hirabayashi,96,,,,"Gordon Hirabayashi, a 24-year-old senior at the University of Washington, arrived at the FBI office in Seattle on May 16, 1942, the date that he had been ordered to register for exclusion. He handed the FBI agent a four-page statement that explained why he refused to register. Hirabayashi was raised as a Quaker and trained as a pacifist, and his reasons for refusal stemmed from his religious convictions and pacifism. Hirabayashi was arrested and his case became an important test of the constitutionality of exclusion. In 1986, Hirabayashi's case was reopened and his convictions surrounding the incarceration were vacated by the Ninth Circuit Court of Appeals, arguing in part that, ""racial bias was the cornerstone of the internment orders.""",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
98,Other forms of resistance [98],Other forms of resistance,94,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
99,Community responses to resistance [99],Community responses to resistance,94,,,,"In December 1947, President Truman pardoned all wartime draft resisters, including Nisei from the concentration camps. The pardon removed the criminal convictions from the resisters' records. However, other Japanese Americans, including some U.S. Army veterans and leaders of the Japanese American Citizens League (JACL), continued to label resisters as disloyal, unpatriotic, cowardly ""draft dodgers."" Some Japanese Americans blamed the resisters for increasing the public's negative attitudes toward people of Japanese ancestry. These consequences affected many resisters for the rest of their lives. Despite an official JACL apology to the resisters in 2000, many Japanese American veterans' groups and others continue to harbor negative feelings toward the resisters. Legacies of the World War II ostracism of resisters contribute to ongoing division within Japanese American communities.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
100,Impact of resistance on families [100],Impact of resistance on families,94,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
101,Leaving camp [101],Leaving camp,399,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
102,Student leave [102],Student leave,101,,,,"In 1942, a small number of Japanese Americans began to exit the camps through a student relocation program. The early student resettlement to colleges in Midwestern and eastern states was organized by a coalition of church leaders and educators led by the American Friends Service Committee. The coalition persuaded colleges and universities in the country's interior to accept Japanese American students. It also helped the Nisei obtain security clearance to leave camp (a complicated process) and find housing. Tuition costs were borne by the students and their families. Although many parents gave up what savings they had, nearly all the students still worked round the clock to support themselves and their studies. By the end of the war, 4,000 Nisei students had entered approximately 600 colleges.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
103,Work leave [103],Work leave,101,,,,"During World War II, Japanese Americans were seen as a source of replacement labor for the farms in Utah, Idaho, and Montana. Starting in May 1942, camp inmates could obtain temporary leaves to work in agriculture, either returning to the camps every night or living on the farm for an extended period. In 1942 alone, some 10,000 Japanese Americans left the camps to perform this seasonal work. Their labor was vital to the agriculture industry and thus to the war effort.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
104,"""Resettlement"" [104]","""Resettlement""",101,,,['http://encyclopedia.densho.org/Resettlement'],"""Resettlement"" was a term used by the War Relocation Authority (WRA) to refer to the migration of Japanese Americans from the camps in which they were incarcerated during World War II. Those who were allowed to leave the camps for ""resettlement"" could not return to the West Coast; they were told to move to the eastern and northern areas of the United States. The WRA strongly encouraged the departing Japanese Americans to become more ""American"" and blend in with the local white population. WRA officials distributed photographs and articles depicting happy families enjoying their new surroundings. In reality, the ""resettlement"" period was not without hardships for many Japanese Americans.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
106,Returning home [106],Returning home,101,,,,"When the camps closed, Japanese Americans were handed $25 and put on trains headed for the places they had been forcibly removed from nearly four years earlier. Harassment was common -- many returning Japanese Americans were greeted with signs reading ""No Japs Allowed."" Other discovered their property had been vandalized or stolen. Homes and businesses that had been boarded up or left in the care of others were abandoned and stripped of furnishings and goods. For the majority, who did not have homes to return to, housing was the most serious problem. Housing discrimination was severe in many areas and persisted to varying degrees until the civil rights legislation of the 1960s. Former camp inmates with no other options moved into hostels and converted community institutions with conditions not much better than the camps they had just left. Although this period was stressful, it is remembered as a time when people came together to share what they had.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
107,Expatriation/repatriation/deportation [107],Expatriation/repatriation/deportation,94,,,,"From 1943 to 1946, over 20,000 Japanese Americans applied to leave the United States for Japan in a process called ""repatriation"" (for Issei as non-citizens) or ""expatriation"" (for Nisei as citizens). Some Issei considered repatriation preferable to remaining in a country that had long discriminated against them. For Nisei, who had rarely been to Japan, expatriation meant renouncing their U.S. citizenship. Some were pressured to do so by family members or extremists; others were bitter about their mistreatment by the government. In total, only 4,724 ended up leaving for Japan directly from the camps and many eventually returned to the U.S. Nearly all Nisei who wanted to were able to regain their citizenship, although the process was long and difficult.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
108,Japan [108],Japan ,0,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
109,Atomic bombings of Hiroshima and Nagasaki [109],Atomic bombings of Hiroshima and Nagasaki,399,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
110,Redress and reparations [110],Redress and reparations,0,,,,"In the late 1960s, Japanese Americans began to revisit the history of the exclusion and incarceration period in order to seek justice for their suffering and ensure that no such wrong would ever be committed again. Years of effort by community activists, politicians, academics, and other supporters culminated on August 10, 1988, with the signing of the Civil Liberties Act by President Ronald Reagan. This Act rescinded Executive Order 9066, and mandated an official apology from the federal government, monetary reparations payments to individuals excluded and incarcerated, and the creation of a federal fund for research and education about the incarceration.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
111,Mobilizing and organizing the community [111],Mobilizing and organizing the community,110,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
113,Formation and work [113],Formation and work,392,,,,"The Commission on Wartime Relocation and Internment of Civilians (CWRIC) was created on July 30, 1980 by an act of Congress. Formed mainly to investigate matters surrounding the incarceration and to recommend appropriate remedies, the CWRIC had no power to correct grievances and was viewed as a ""copout"" by those fighting for more immediate redress. Still, hearings were conducted in 20 cities across the nation beginning in 1981, and in 1982 the CWRIC issued its report 'Personal Justice Denied.' It was an exhaustive work that combined the testimonies of former camp inmates given at the hearings and research conducted by a team led by Aiko Yoshinaga Herzig. Ultimately, the CWRIC recommended, among other things, $20,000 individual compensation to those incarcerated and a formal government apology. This recommendation would be the basis for the many redress bills that were to follow. *See the CWRIC collection under photos/documents for examples of the documents found by CWRIC researchers.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
114,Hearings [114],Hearings,392,,,,"The Commission on Wartime Relocation and Internment of Civilians (CWRIC) was created on July 30, 1980, by an act of Congress. The CWRIC was formed mainly to investigate matters surrounding the incarceration and to recommend appropriate remedies. Hearings were conducted by the CWRIC in 20 cities across the nation beginning in 1981. Testimonies of former camp inmates given at these hearings -- along with exhaustive research -- provided the basis for the CWRIC report 'Personal Justice Denied.' These hearings were the turning point of the redress movement. Former opponents of redress were won over after the hearings. The often emotional testimony was also a catharsis for the Japanese American community, as many former incarceration camp survivors spoke of their experience in public for the first time.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
115,Lobbying and implementation of findings and recommendations [115],Lobbying and implementation of findings and recommendations,392,,,,"In December 1982, the Commission on Wartime Relocation and Internment of Civilians (CWRIC) issued its report, 'Personal Justice Denied,' which recommended $20,000 individual compensation and a formal apology. The job of making the recommendations of the commission a reality, however, was daunting. Beyond the few sympathetic Japanese American congressmen and congresswomen, redress supporters had few Washington connections. In 1983, redress bills were introduced but went nowhere. Redress groups decided to shift their resources to lobbying. The strategy was to frame the issue in a consistent way with both conservatives and liberals. Others in the redress movement reached out to non-Japanese American organizations to widen the base of support. Years of hard work and dedication paid off in 1988 when President Reagan signed the Civil Liberties Act into law.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
116,Impact of redress movement [116],Impact of redress movement,110,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
117,Receiving redress checks and apology [117],Receiving redress checks and apology ,110,,,,"In 1988, President Ronald Reagan signed into law the Civil Liberties Act, which, among other things, mandated an official apology from the government and monetary payments to Japanese Americans incarcerated during World War II. On October 9, 1990, more than two years after the passage of the bill, the first of the redress payments were made in a formal ceremony to elderly issei survivors in Washington, D.C. Similar ceremonies were held in cities across the country. While few of those who were incarcerated feel that the government's apology erases what was done, many believe that a formal admission of wrongdoing helped resolve feelings of shame and corrected misperceptions held by the larger society.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
118,Reflections on the past [118],Reflections on the past,0,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
120,Activism and involvement [120],Activism and involvement,0,,,,,,
157,Fred Korematsu [157],Fred Korematsu,96,,,,"Fred Korematsu was a welder who lost his job after the attack on Pearl Harbor when the Boilermakers Union expelled all Japanese American members. Korematsu decided to resist the mass removal orders, and planned to leave the state. On May 30, 1942, Korematsu was arrested for violating the exclusion order after failing to report to Tanforan Assembly Center. When Korematsu was contacted by an ACLU lawyer looking for a test case, he decided to fight the evacuation order. Korematsu lost his Supreme Court case in 1944. In the early 1980s, his case was reopened after the discovery of a crucial document indicating that in the original 1944 case, the federal government had lied to the high court. The conviction was vacated by U.S. District Judge Marilyn Hall Patel in 1983.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
158,Minoru Yasui [158],Minoru Yasui,96,,,,"On March 28, 1942, Minoru Yasui intentionally violated curfew orders in Portland, Oregon, and then walked into a police station, demanding to be arrested. A lawyer and U.S. Army reserve officer, Yasui had worked at the Japanese consulate in Chicago. After Pearl Harbor he had been pressed into active duty, but subsequently was rejected for formal induction because of his Japanese ancestry. Yasui made himself a test case because he objected to the military orders that violated his rights as a citizen. Yasui was ultimately convicted of violating the curfew.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
160,Organized labor [160],Organized labor,5,,,,"Japanese immigrants, especially upon arrival, labored at menial jobs in the industries of agriculture, railroads, lumber, canneries, mining, and fishing. These workers toiled under poor, unsanitary, and often dangerous conditions for low wages. Around the turn of the century, sugar-beet harvesters earned about $1.25 for a ten-hour day, railroad workers earned between $1.00 and $1.25 per day, and Alaskan cannery workers earned between $100 and $200 for a six-month season. They actively sought to better their wages and living conditions through organizing unions and engaging in strikes, despite being barred from white unions.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
161,Stereotypes [161],Stereotypes,36,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
162,"Conflicts, intimidation, and violence [162]","Conflicts, intimidation, and violence",65,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
163,Pre-World War II [163],Pre-World War II,108,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
164,During World War II [164],During World War II,108,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
165,Post-World War II [165],Post-World War II,108,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
